id,title,venue,authors,year,abstract,citations,influential_citations
https://openalex.org/W4293024991,MITRE ATT&amp;CK-driven Cyber Risk Assessment,ARES (Validação DBLP),"Mohamed Ahmed, Sakshyam Panda, Christos Xenakis, Emmanouil Panaousis",2022,"Assessing the risk posed by Advanced Cyber Threats (APTs) is challenging without understanding the methods and tactics adversaries use to attack an organisation. The MITRE ATT&CK provides information on the motivation, capabilities, interests and tactics, techniques and procedures (TTPs) used by threat actors. In this paper, we leverage these characteristics of threat actors to support informed cyber risk characterisation and assessment. In particular, we utilise the MITRE repository of known adversarial TTPs along with attack graphs to determine the attack probability as well as the likelihood of success of an attack. We further identify attack paths with the highest likelihood of success considering the techniques and procedures of a threat actor. The assessment is supported by a case study of a health care organisation to identify the level of risk against two adversary groups– Lazarus and menuPass.",44,44
https://openalex.org/W4292158698,GTM: Game Theoretic Methodology for optimal cybersecurity defending strategies and investments,ARES (Validação DBLP),"Ioannis Kalderemidis, Aristeidis Farao, Panagiotis Bountakas, Sakshyam Panda, Christos Xenakis",2022,"Investments on cybersecurity are essential for organizations to protect operational activities, develop trust relationships with clients, and maintain financial stability. A cybersecurity breach can lead to financial losses as well as to damage the reputation of an organization. Protecting an organization from cyber attacks demands considerable investments; however, it is known that organisations unequally divide their budget between cybersecurity and other technological needs. Organizations must consider cybersecurity measures, including but not limited to security controls, in their cybersecurity investment plans. Nevertheless, designing an effective cybersecurity investment plan to optimally distribute the cybersecurity budget is a primary concern.",20,20
https://openalex.org/W4293637494,SOAR4IoT: Securing IoT Assets with Digital Twins,ARES (Validação DBLP),"Philip Empl, Daniel Schlette, Daniel Zupfer, Günther Pernul",2022,"As more and more security tools provide organizations with cybersecurity capabilities, security analysts are overwhelmed by security events. Resolving these events is challenging due to extensive manual processes, limited financial resources, and human errors. Security Orchestration, Automation, and Response (SOAR) is an established approach to manage security tools and assets. However, SOAR platforms typically integrate traditional IT systems only. Additional considerations are required to deal with the Internet of Things (IoT), its multiple devices and complex networks. Therefore, we adapt SOAR to IoT. We first aggregate existing research and information on SOAR and SOAR platforms. We envision the SOAR4IoT framework, making IoT assets manageable for SOAR via middleware. We implement a prototypical digital twin-based SOAR application integrating IoT assets and security tools to validate our framework. The experimental setup includes two playbooks coping with Mirai and Sybil attacks. Results show feasibility as our SOAR application enables securing IoT assets with digital twins.",20,20
https://openalex.org/W4292158626,SoK: Applications and Challenges of using Recommender Systems in Cybersecurity Incident Handling and Response,ARES (Validação DBLP),"Martin Husák, Milan Čermák",2022,"Incident handling, a fundamental activity of a cybersecurity incident response team, is a complex discipline that consumes a significant amount of personnel’s time and costs. There are continuous efforts to facilitate incident handling and response in terms of providing procedural or decision support and processing relevant data. In this paper, we survey the approaches towards (semi-)automated incident handling and response backed by recommender systems that are successful in other domains. We discuss which phases and tiers of incident handling can be automated and to what level while evaluating the maturity of proposed approaches and tools. While we did not find a full-scale recommender system that would guide the user through incident handling and suggest which steps to take, many of them aim at particular problems. The discussed issues are not resolved yet but seem to get the attention of researchers and will likely be investigated in the future.",18,18
https://openalex.org/W4292158647,A Near Real-Time Scheme for Collecting and Analyzing IoT Malware Artifacts at Scale,ARES (Validação DBLP),"Joseph Khoury, Morteza Safaei Pour, Elias Bou‐Harb",2022,"The chronic proliferation of Internet of Things (IoT) botnet malware activities coupled with an unprecedented rise in security vulnerabilities convene a new world of opportunities for perpetrators and unveil a new set of hurdles in deriving relevant IoT malware intelligence. Such shortfall within the IoT paradigm exacerbates the capabilities for largely identifying the prevailing IoT malware threats, the origin of the IoT attacks, as well as, the security deficit associated with the IoT paradigm. Previous work has vastly studied IoT malware activities in the wild but has not profiled at a large scale malicious activities to collect in near real-time central IoT artifacts much-needed to understand and eventually elevate the security posture of the IoT ecosystem.",13,13
https://openalex.org/W4293637522,Properties for Cybersecurity Awareness Posters’ Design and Quality Assessment,ARES (Validação DBLP),"Sunil Chaudhary, Marko Kompara, Sebastian Pape, Vasileios Gkioulos",2022,"Posters are widely in practice to communicate cybersecurity awareness (CSA) messages. This popularity could be because it is one of the simplest mechanisms, and most people are accustomed to poster usage. Despite this, very little effort has been made to make the CSA poster design and assessment more systematic. Due to this, there exists a wide variation in CSA poster design. Alarmingly, many of them do not align with the needs and objectives of CSA. This study, therefore, intends to collect and analyze the properties that can guide the production of more uniform and effective posters for CSA purposes. At the same time, the study contributes to making the poster design and quality assessment approach more systematic. In order to do so, this study used a literature review for the elicitation of properties and an online assessment to analyze the relevancy of the elicited properties. As a final result, the study provides six main properties (i.e., topic, information quality, message framing, suggestions quality, content presentation, localization, and style and formatting) and their respective twenty-one sub-properties that can facilitate CSA poster design and its quality assessment.",10,10
https://openalex.org/W4292158200,ConSenseIoT: A Consensus Algorithm for Secure and Scalable Blockchain in the IoT context,ARES (Validação DBLP),"Harris Niavis, Konstantinos Loupos",2022,"Data protection and privacy is a major concern in the Internet of Things (IoT) ecosystem, and the excessive use of IoT devices may risk the security of the network. Blockchain solutions are used to enhance the trustworthiness and eliminate the need for trusted third parties by providing mechanisms to reach consensus in a network of trustless participants. The consensus algorithms employed by blockchain architectures ensure the integrity of the data stored in the blockchain, the resiliency of the network and manage the security of devices. However, current solutions are compute intensive affecting the performance of the network and consuming much energy. In this work, we introduce a consensus algorithm for offering secure distributed consensus among IoT devices without affecting the performance of the network. The algorithm is inspired by existing solutions, employs decentralised identities, verifiable credentials and a decentralised trust management mechanism to guarantee security, privacy and trustworthiness of transactions. Finally, our algorithm combines technologies for operating in a distributed manner which favors the scalability and allow the effective integration in large scale networks.",8,8
https://openalex.org/W4302183866,A Quantitative Analysis of Offensive Cyber Operation (OCO) Automation Tools,ARES (Validação DBLP),"Samuel Zurowski, George deF. Lord, Ibrahim Baggili",2022,"The ecosystem for automated offensive security tools has grown in recent years. As more tools automate offensive security techniques via Artificial Intelligence (AI) and Machine Learning (ML), it may result in vulnerabilities due to adversarial attacks. Therefore, it is imperative that research is conducted to help understand the techniques used by these security tools. Our work explores the current state of the art in offensive security tools. First, we employ an abstract model that can be used to understand what phases of an Offensive Cyber Operation (OCO) can be automated. We then adopt a generalizable taxonomy, and apply it to automation tools (such as normal automation and the use of artificial intelligence in automation). We then curated a dataset of tools and research papers and quantitatively analyzed it. Our work resulted in a public dataset that includes analysis of (n=57) papers and OCO tools that are mapped to the the MITRE ATT&CK Framework enterprise techniques, applicable phases of our OCO model, and the details of the automation technique. The results show a need for a granular expansion on the ATT&CK Exploit Public-Facing application technique. A critical finding is that most OCO tools employed Simple Rule Based automation, hinting at a lucrative research opportunity for the use of Artificial Intelligence (AI) and Machine Learning (ML) in future OCO tooling.",8,8
https://openalex.org/W4292158549,Security of Smart Grid Networks in the Cyber Ranges,ARES (Validação DBLP),"Tomáš Lieskovan, Jan Hajný",2022,"Smart meters are increasingly a part of everyday households. These smart meters allow remote reading of the energy but also remote disconnection of the point of consumption from the energy supply. As these devices are part of the critical infrastructure of the country, the security of these devices needs to be tested and the relevant personnel trained. We would like to contribute to the scientific community by bringing practical experience from smart meter testing into the Cyber Range virtual environment. In this environment, professionals working with smart meters can be trained and smart meter safety tests can be performed. This paper presents common smart meter vulnerabilities and their demonstration in the Cyber Range environment. The article includes a sample description of scenario for testing so anyone can try it.",7,7
https://openalex.org/W4293637499,SASP: a Semantic web-based Approach for management of Sharable cybersecurity Playbooks,ARES (Validação DBLP),"Mehdi Akbari Gurabi, Avikarsha Mandal, Jan Popanda, Robert P. Rapp, Stefan Decker",2022,"In incident management, response and recovery actions are designed to effectively mitigate ongoing or future cyberattacks. A security playbook consists of a pipeline of instructions to document necessary response and recovery actions to deal with a specific type of incident. Since many organisations lack the resources, expertise and know-how to handle incidents, sharing playbooks across organisations could significantly improve their response capabilities against cyberattacks. However, playbooks are often organisation specific and usually not machine-readable, sharable and interoperable. In this work, we propose a semantic web-based approach to capture the knowledge of incident response and recovery steps to support sharing of playbooks based on a standardised and common vocabulary. To further demonstrate our approach, we introduce SASP, a proof-of-concept tool based on Semantic MediaWiki for playbook management. In this paper, we describe the key requirements from incident handlers to share playbooks, SASP architecture design, and its core components and functionalities. We then discuss the results of our user-centric evaluation conducted on members of different Security Operation Centres and the further potential of the solution.",7,7
https://openalex.org/W4301195673,Fault-Tolerant SDN Solution for Cybersecurity Applications,ARES (Validação DBLP),"Athanasios Liatifis, Christos Dalamagkas, Panagiotis Radoglou‐Grammatikis, Θωμάς Λάγκας, Evangelos Markakis, Valeri Mladenov, Panagiotis Sarigiannidis",2022,"The rapid growth of computer networks in various sectors has led to new services previously hard or impossible to implement. Internet of Things has also assisted in this evolution offering easy access to data but at the same time imposing constraints on both security and quality of service. In this paper, an SDN fault tolerant and resilient SDN controller design approach is presented. The proposed solution is suitable for a wide range of environments. Benefits stemming from actual scenarios are presented and discussed among other solutions.",7,7
https://openalex.org/W4293023532,Cyber-security measures for protecting EPES systems in the 5G area,ARES (Validação DBLP),Alexios Lekidis,2022,"The recent technological advance in the fifth generation of telecommunication networks (5G) has led to a evolutions in many domains, including connected cars, manufacturing and electricity. A technological domain that had large benefits from this advance is the Electrical Power and Energy System (EPES). Despite the simplicity and efficiency that 5G brings there are also underlying risks that are slowing down its adoption. These risks are caused by the presence of convergence connectivity interfaces in legacy infrastructures that were built with no security in mind. Specifically, EPES systems are often targeted by cyber criminals to cause massive blackouts in entire cities or countries that in turn lead to societal impact, such as consumer discomfort. In this work we propose a cyber-security measures for 1) early-stage detection of cyber-security incidents and 2) protecting against them through applicable security measures. The proposed measures are applied to a Hydroelectric Power Plant (HPP) of the Public Power Corporation (PPC). The cyber-attacks are performed in a 5G-enabled smart meter that measures power production and transmits measurements to PPC's control center through the use of 5G Network Function Virtualization (NFV) technologies, such as network slicing. To protect against the attacks, cyber-security measures are applied and incorporated in a cyber-security platform, that was developed within the PHOENIX H2020 project. The measures are used to detect the attacks and perform necessary mitigation actions for restoring the HPP operation.",6,6
https://openalex.org/W4300836756,"Secret sharing a key in a distributed way, Lagrange vs Newton",ARES (Validação DBLP),"Anastassios Voudouris, Ilias Politis, Christos Xenakis",2022,"In secret sharing, a dealer knows the secret it shares. In a distributed key generation (DKG) protocol, a shared secret is collectively generated in a group in a completely distributed way such that any subset of size greater than a threshold can reveal or use the shared secret, while smaller subsets do not have any knowledge about it. The most important aspect is that there is no dealer or trusted party. The core idea of secret sharing schemes is Shamir’s secret sharing method, which uses Lagrange’s interpolation to reconstruct the shared secret key. This paper investigates an alternative method, called Newton’s interpolation and it cites the probability of implementing it on current DKG protocols.",6,6
https://openalex.org/W4300504117,Handling Critical Infrastructures in Federation of Cyber Ranges: A Classification Model,ARES (Validação DBLP),"Evangelos Chaskos, Jason Diakoumakos, Nicholas Kolokotronis, George Lepouras",2022,"A novel system is presented in this paper, which is able to classify the different components that comprise a Federation Cyber Range (FCR) platform in terms of their criticality level and thus maximize the sharing capabilities of environments that include critical infrastructures as part of their scenarios. A characterization method is proposed in order to share the requested information amongst the cyber ranges part of a federation platform with respect to the criticality level of each unique system, lying under a scenario. The proposed model is able to correctly categorize systems based on their criticality level that are part of a scenario, conceal information, evaluate the trust level of any partner and produce and distribute reusable scenarios, according to designated markings. Mechanisms to perform an overall evaluation to the resulting scenario regarding its pliability, reusability and its evaluation aspects are to be considered. This model describes a dynamic and scalable system, able to support security needs inside an FCR environment, hide critical information from non-eligible partners and dynamically create new public scenarios based on the existing ones, without alternating the initial educational objectives.",4,4
https://openalex.org/W4299669311,Distributed Enforcement of Access Control policies in Intelligent Transportation System (ITS) for Situation Awareness,ARES (Validação DBLP),"Tahir Ahmad, Umberto Morelli, Silvio Ranise",2022,"Intelligent Transport Systems (ITS) are crucial to support Situation Awareness (SA), which aims to keep a safe and efficient driving experience. While promising, ITS use for SA brings several security challenges, including enforcing access control policies in distributed environments with stringent computational constraints in terms of availability, consistency, and latency. Consequently, traditional mechanisms used to enforce authorization policies cannot be reused off-the-shelf but need to be carefully adapted to the particular requirements and minimize the overhead of access control enforcement. In this paper, we propose a distributed architecture for access control enforcement for ITS capable of satisfying the requirements of SA scenarios based on the idea of dynamically compiling a high-level specification of access control policies (written in the Attribute-Based Access Control model) into a set of low-level Access Control Lists that are easier to enforce. We discuss how to realize it by reusing well-known techniques developed in the field of distributed systems. To evaluate the applicability of the proposed approach, we build a prototype that we use to conduct an experimental evaluation in the context of two practical use case scenarios.",2,2
https://openalex.org/W4283015175,YOU SHALL NOT COMPUTE on my Data: Access Policies for Privacy-Preserving Data Marketplaces and an Implementation for a Distributed Market using MPC,ARES (Validação DBLP),"Stefan More, Lukas Alber",2022,"Personal data is an attractive source of insights for a diverse field of research and business. While our data is highly valuable, it is often privacy-sensitive. Thus, regulations like the GDPR restrict what data can be legally published, and what a buyer may do with this sensitive data. While personal data must be protected, we can still sell some insights gathered from our data that do not hurt our privacy. A data marketplace is a platform that helps users to sell their data while assisting buyers in discovering relevant datasets. The major challenge such a marketplace faces is balancing between offering valuable insights into data while preserving privacy requirements. Private data marketplaces try to solve this challenge by offering privacy-preserving computations on personal data. Such computations allow for calculating statistics or training machine learning models on personal data without accessing the data in plain. However, the user selling the data cannot restrict who can buy or what type of computation the data is allowed.",7,7
https://openalex.org/W4302374057,Adding European Cybersecurity Skills Framework into Curricula Designer,ARES (Validação DBLP),"Jan Hajný, Marek Sikora, Athanasios Vasileios Grammatopoulos, Fabio Di Franco",2022,"We present the updated version of the Curricula Designer, a tool that is devoted to helping study program administrators and education providers to create cybersecurity curricula that are modern and reflect the needs of the job market. Our main contribution is the inclusion of the European Cybersecurity Skills Framework (ECSF) developed by ENISA to the Curricula Designer. The ECSF makes it possible to directly link knowledge and skills with professional profiles, which in turn reflect actual work roles on the job market. By adding ECSF to the Curricula Designer, we get a simple yet powerful tool that helps to identify the right content of cybersecurity curricula using rigorous, deterministic methods, applicable at any higher education provider. At the time of the paper submission, the Curricula Designer is the first practical application that is based on ECSF. However, due to its focus on practicality, usability and simplicity, we expect ECSF to become the dominant framework for cybersecurity knowledge and skills identification in Europe.",7,7
