id,title,venue,authors,year,abstract,citations,influential_citations,clean_text,CPS,Blockchain,IoT,Fault Tolerance,Distributed Systems,sim_max,S_Quali,C_Norm,V_Norm,S_Quant,Score_Global
https://openalex.org/W4385688351,Exploiting Digital Twin technology for Cybersecurity Monitoring in Smart Grids,ARES (Validação DBLP),"Luigi Coppolino, Roberto Nardone, Alfredo Petruolo, Luigi Romano, Andrej Souvent",2023,"The adoption of Digital Twin technology has witnessed significant growth in various domains, enabling continuous monitoring and testing in diverse applications. In the context of safeguarding critical infrastructures, particularly smart grids, Digital Twin has emerged as a viable solution to meet the requirements outlined in the NIS2 directive issued by the European Commission. Additionally, the increasing trend in Europe towards establishing shared dataspaces, and fostering collaborative environments through data sharing, necessitates a heightened focus on cybersecurity risks.",28,28,"Exploiting Digital Twin technology for Cybersecurity Monitoring in Smart Grids The adoption of Digital Twin technology has witnessed significant growth in various domains, enabling continuous monitoring and testing in diverse applications. In the context of safeguarding critical infrastructures, particularly smart grids, Digital Twin has emerged as a viable solution to meet the requirements outlined in the NIS2 directive issued by the European Commission. Additionally, the increasing trend in Europe towards establishing shared dataspaces, and fostering collaborative environments through data sharing, necessitates a heightened focus on cybersecurity risks.",0.64,0.58,0.56,0.57,0.56,0.64,7.67,10.0,10.0,10.0,8.6
https://openalex.org/W4385713428,Digital Twin-Enhanced Incident Response for Cyber-Physical Systems,ARES (Validação DBLP),"David S. Allison, Paul Smith, Kieran McLaughlin",2023,"Cyber-physical systems underpin many of our society’s critical infrastructures. Ensuring their cyber security is important and complex. A major activity in this regard is cyber security incident response, whose primary goal is to detect and mitigate cyber-attacks in order to ensure the continuity and resilience of services. For cyber-physical systems this is particularly challenging because it requires insights both from the cyber and physical (process) domains and the engagement of stakeholders that are not strictly concerned with cyber security. A technology that is receiving a lot of attention are digital twins – virtual representations of real-world (cyber-physical) systems. They can be used to support tasks such as estimating the state of a system and exploring the consequences of interventional activities (e.g., upgrades).",21,21,"Digital Twin-Enhanced Incident Response for Cyber-Physical Systems Cyber-physical systems underpin many of our society’s critical infrastructures. Ensuring their cyber security is important and complex. A major activity in this regard is cyber security incident response, whose primary goal is to detect and mitigate cyber-attacks in order to ensure the continuity and resilience of services. For cyber-physical systems this is particularly challenging because it requires insights both from the cyber and physical (process) domains and the engagement of stakeholders that are not strictly concerned with cyber security. A technology that is receiving a lot of attention are digital twins – virtual representations of real-world (cyber-physical) systems. They can be used to support tasks such as estimating the state of a system and exploring the consequences of interventional activities (e.g., upgrades).",0.72,0.53,0.57,0.59,0.55,0.72,7.67,7.5,7.5,7.5,7.6
https://openalex.org/W4293637494,SOAR4IoT: Securing IoT Assets with Digital Twins,ARES (Validação DBLP),"Philip Empl, Daniel Schlette, Daniel Zupfer, Günther Pernul",2022,"As more and more security tools provide organizations with cybersecurity capabilities, security analysts are overwhelmed by security events. Resolving these events is challenging due to extensive manual processes, limited financial resources, and human errors. Security Orchestration, Automation, and Response (SOAR) is an established approach to manage security tools and assets. However, SOAR platforms typically integrate traditional IT systems only. Additional considerations are required to deal with the Internet of Things (IoT), its multiple devices and complex networks. Therefore, we adapt SOAR to IoT. We first aggregate existing research and information on SOAR and SOAR platforms. We envision the SOAR4IoT framework, making IoT assets manageable for SOAR via middleware. We implement a prototypical digital twin-based SOAR application integrating IoT assets and security tools to validate our framework. The experimental setup includes two playbooks coping with Mirai and Sybil attacks. Results show feasibility as our SOAR application enables securing IoT assets with digital twins.",20,20,"SOAR4IoT: Securing IoT Assets with Digital Twins As more and more security tools provide organizations with cybersecurity capabilities, security analysts are overwhelmed by security events. Resolving these events is challenging due to extensive manual processes, limited financial resources, and human errors. Security Orchestration, Automation, and Response (SOAR) is an established approach to manage security tools and assets. However, SOAR platforms typically integrate traditional IT systems only. Additional considerations are required to deal with the Internet of Things (IoT), its multiple devices and complex networks. Therefore, we adapt SOAR to IoT. We first aggregate existing research and information on SOAR and SOAR platforms. We envision the SOAR4IoT framework, making IoT assets manageable for SOAR via middleware. We implement a prototypical digital twin-based SOAR application integrating IoT assets and security tools to validate our framework. The experimental setup includes two playbooks coping with Mirai and Sybil attacks. Results show feasibility as our SOAR application enables securing IoT assets with digital twins.",0.6,0.61,0.65,0.56,0.62,0.65,7.67,7.14,7.14,7.14,7.46
https://openalex.org/W4385688303,Artificial Intelligence for next generation cybersecurity: The AI4CYBER framework,ARES (Validação DBLP),"Eider Iturbe, Erkuden Rios, Angel Rego, Nerea Toledo",2023,"Artificial Intelligence (AI) is playing a crucial role both in the technological advances and emerging advanced threats in cybersecurity. Despite efforts by competent authorities in Europe to regulate the use of AI in a way that aligns with the ethics and individuals’ fundamental rights, there are still challenges to be tackled, not to mention the malicious use of AI by cybercriminals. In this paper we present a novel framework that is composed of innovative cybersecurity services that leverage AI to provide support in the management of the incident response and recovery lifecycle of the critical entities’ systems against advanced attacks. The paper describes the main components and architecture of the AI4CYBER framework and provides a clear understanding of the application of the autonomous intelligent cybersecurity services and their role in enforcing defensive actions throughout the entire lifecycle of the systems.",21,21,"Artificial Intelligence for next generation cybersecurity: The AI4CYBER framework Artificial Intelligence (AI) is playing a crucial role both in the technological advances and emerging advanced threats in cybersecurity. Despite efforts by competent authorities in Europe to regulate the use of AI in a way that aligns with the ethics and individuals’ fundamental rights, there are still challenges to be tackled, not to mention the malicious use of AI by cybercriminals. In this paper we present a novel framework that is composed of innovative cybersecurity services that leverage AI to provide support in the management of the incident response and recovery lifecycle of the critical entities’ systems against advanced attacks. The paper describes the main components and architecture of the AI4CYBER framework and provides a clear understanding of the application of the autonomous intelligent cybersecurity services and their role in enforcing defensive actions throughout the entire lifecycle of the systems.",0.61,0.53,0.51,0.55,0.53,0.61,6.5,7.5,7.5,7.5,6.9
https://openalex.org/W4385713496,On Deploying Quantum-Resistant Cybersecurity in Intelligent Infrastructures,ARES (Validação DBLP),"Lukáš Malina, Patrik Dobiáš, Jan Hajný, Kim‐Kwang Raymond Choo",2023,"As quantum-safe algorithms are increasingly implemented in security protocols used in current and emerging digital services, there is also a corresponding need to map the current state of security protocols and applications and their preparedness for the post-quantum era. In this paper, we review current security recommendations, existing security libraries, and the support of Post-Quantum Cryptography (PQC) in widely-used security protocols. We also present a practical assessment of recently selected PQC algorithms by the National Institute of Standards and Technologies (NIST) PQC standardization on typical platforms that can be deployed in intelligent infrastructures (e.g., smartphones and single-boards), and recently recommended hash-based signatures for software/firmware signing. Finally, we discuss how incoming post-quantum migration affects selected areas in intelligent infrastructures.",16,16,"On Deploying Quantum-Resistant Cybersecurity in Intelligent Infrastructures As quantum-safe algorithms are increasingly implemented in security protocols used in current and emerging digital services, there is also a corresponding need to map the current state of security protocols and applications and their preparedness for the post-quantum era. In this paper, we review current security recommendations, existing security libraries, and the support of Post-Quantum Cryptography (PQC) in widely-used security protocols. We also present a practical assessment of recently selected PQC algorithms by the National Institute of Standards and Technologies (NIST) PQC standardization on typical platforms that can be deployed in intelligent infrastructures (e.g., smartphones and single-boards), and recently recommended hash-based signatures for software/firmware signing. Finally, we discuss how incoming post-quantum migration affects selected areas in intelligent infrastructures.",0.59,0.6,0.57,0.58,0.61,0.61,7.33,5.71,5.71,5.71,6.68
https://openalex.org/W4400977098,Comparison of Multiple Feature Selection Techniques for Machine Learning-Based Detection of IoT Attacks,ARES (Validação DBLP),"Viet Anh Phan, Jan Jeřábek, Lukáš Malina",2024,"The Internet of Things (IoT) has become increasingly practical in applications such as smart homes, autonomous vehicles, and environmental monitoring. However, this rapid expansion has led to significant cybersecurity threats. Detecting these threats is critical, and while machine learning techniques are valuable, they struggle with high-dimensional data. Feature selection helps by reducing computational costs while maintaining model generalization. Selecting the most effective feature selection method is a crucial task. This research addresses this gap by testing five feature selection methods: Random Forest (RF), Recursive Feature Elimination (RFE), Logistic Regression (LR), XGBoost Regression (XGBoost), and Information Gain (IG) using the CIC-IoT 2023 dataset. It evaluates these methods when being used with five machine learning models: Decision Tree (DT), Random Forest (RF), k-Nearest Neighbors (k-NN), Gradient Boosting (GB), and Multi-layer Perceptron (MLP) using metrics like accuracy, precision, recall, and F1-score across three datasets. The results show that RFE, especially with the RF model, achieves the highest accuracy (99.57%) with 30 features. RF is the most stable, with accuracy from 83% to 99.56%. Additionally, the 5-feature scheme is best for implementing IDS on resource-limited IoT devices, with RFE paired with the k-NN model being the optimal combination.",13,13,"Comparison of Multiple Feature Selection Techniques for Machine Learning-Based Detection of IoT Attacks The Internet of Things (IoT) has become increasingly practical in applications such as smart homes, autonomous vehicles, and environmental monitoring. However, this rapid expansion has led to significant cybersecurity threats. Detecting these threats is critical, and while machine learning techniques are valuable, they struggle with high-dimensional data. Feature selection helps by reducing computational costs while maintaining model generalization. Selecting the most effective feature selection method is a crucial task. This research addresses this gap by testing five feature selection methods: Random Forest (RF), Recursive Feature Elimination (RFE), Logistic Regression (LR), XGBoost Regression (XGBoost), and Information Gain (IG) using the CIC-IoT 2023 dataset. It evaluates these methods when being used with five machine learning models: Decision Tree (DT), Random Forest (RF), k-Nearest Neighbors (k-NN), Gradient Boosting (GB), and Multi-layer Perceptron (MLP) using metrics like accuracy, precision, recall, and F1-score across three datasets. The results show that RFE, especially with the RF model, achieves the highest accuracy (99.57%) with 30 features. RF is the most stable, with accuracy from 83% to 99.56%. Additionally, the 5-feature scheme is best for implementing IDS on resource-limited IoT devices, with RFE paired with the k-NN model being the optimal combination.",0.53,0.5,0.64,0.47,0.5,0.64,7.67,4.64,4.64,4.64,6.46
https://openalex.org/W4385692431,Securing Data Exchange in the Convergence of Metaverse and IoT Applications,ARES (Validação DBLP),"Rizwan Patan, Reza M. Parizi",2023,"The convergence of Metaverse and Internet of Things (IoT) presents new opportunities for exchanging data, but it also introduces unprecedented security challenges. With the proliferation of IoT devices, the risk of unauthorized access and data breaches is on the rise, posing significant threats to data confidentiality and integrity. To address these challenges and protect user privacy, comprehensive security solutions are essential. We propose the SafeMetaNet approach, which combines proximity-based authentication, encryption, and blockchain technology to establish secure data exchange in the IoT-Metaverse convergence. SafeMetaNet ensures data confidentiality and integrity through encryption and establishes a tamper-proof record of data exchange using blockchain technology. We evaluated the approach’s performance using various metrics, including latency, throughput, and two security metrics: data confidentiality and data integrity, and compared it with existing approaches. Our findings show that SafeMetaNet outperforms existing approaches, providing improved security. SafeMetaNet is a promising solution for secure data exchange in the IoT-Metaverse convergence.",12,12,"Securing Data Exchange in the Convergence of Metaverse and IoT Applications The convergence of Metaverse and Internet of Things (IoT) presents new opportunities for exchanging data, but it also introduces unprecedented security challenges. With the proliferation of IoT devices, the risk of unauthorized access and data breaches is on the rise, posing significant threats to data confidentiality and integrity. To address these challenges and protect user privacy, comprehensive security solutions are essential. We propose the SafeMetaNet approach, which combines proximity-based authentication, encryption, and blockchain technology to establish secure data exchange in the IoT-Metaverse convergence. SafeMetaNet ensures data confidentiality and integrity through encryption and establishes a tamper-proof record of data exchange using blockchain technology. We evaluated the approach’s performance using various metrics, including latency, throughput, and two security metrics: data confidentiality and data integrity, and compared it with existing approaches. Our findings show that SafeMetaNet outperforms existing approaches, providing improved security. SafeMetaNet is a promising solution for secure data exchange in the IoT-Metaverse convergence.",0.6,0.69,0.65,0.58,0.61,0.69,7.67,4.29,4.29,4.29,6.32
https://openalex.org/W4292158647,A Near Real-Time Scheme for Collecting and Analyzing IoT Malware Artifacts at Scale,ARES (Validação DBLP),"Joseph Khoury, Morteza Safaei Pour, Elias Bou‐Harb",2022,"The chronic proliferation of Internet of Things (IoT) botnet malware activities coupled with an unprecedented rise in security vulnerabilities convene a new world of opportunities for perpetrators and unveil a new set of hurdles in deriving relevant IoT malware intelligence. Such shortfall within the IoT paradigm exacerbates the capabilities for largely identifying the prevailing IoT malware threats, the origin of the IoT attacks, as well as, the security deficit associated with the IoT paradigm. Previous work has vastly studied IoT malware activities in the wild but has not profiled at a large scale malicious activities to collect in near real-time central IoT artifacts much-needed to understand and eventually elevate the security posture of the IoT ecosystem.",13,13,"A Near Real-Time Scheme for Collecting and Analyzing IoT Malware Artifacts at Scale The chronic proliferation of Internet of Things (IoT) botnet malware activities coupled with an unprecedented rise in security vulnerabilities convene a new world of opportunities for perpetrators and unveil a new set of hurdles in deriving relevant IoT malware intelligence. Such shortfall within the IoT paradigm exacerbates the capabilities for largely identifying the prevailing IoT malware threats, the origin of the IoT attacks, as well as, the security deficit associated with the IoT paradigm. Previous work has vastly studied IoT malware activities in the wild but has not profiled at a large scale malicious activities to collect in near real-time central IoT artifacts much-needed to understand and eventually elevate the security posture of the IoT ecosystem.",0.56,0.54,0.66,0.53,0.55,0.66,7.33,4.64,4.64,4.64,6.26
https://openalex.org/W4385688300,IoT Network Attack Detection: Leveraging Graph Learning for Enhanced Security,ARES (Validação DBLP),"Mohamed‐Lamine Messai, Hamida Seba",2023,"IoT networks are the favorite target of cybercriminals. With more and more connected IoT devices, IoT networks offer large attack surface. There are many potential entry points for cybercriminals in these networks. Hence, attack detection is an essential part of securing IoT networks and protecting them against the potential harm or damage that can result from successful attacks. In this paper, we propose a graph-based framework for detecting attacks in IoT networks. Our approach involves constructing an activity graph to represent the networking events occurring during a monitoring window. This graph is a rich attributed graph capturing both structure and semantic features from the network traffic. Then, we train a neural network on this graph to distinguish between normal activities and attacks. Our preliminary experiments show that our approach is able to accurately detect a large range of attacks when the size of the monitoring window is correctly set.",9,9,"IoT Network Attack Detection: Leveraging Graph Learning for Enhanced Security IoT networks are the favorite target of cybercriminals. With more and more connected IoT devices, IoT networks offer large attack surface. There are many potential entry points for cybercriminals in these networks. Hence, attack detection is an essential part of securing IoT networks and protecting them against the potential harm or damage that can result from successful attacks. In this paper, we propose a graph-based framework for detecting attacks in IoT networks. Our approach involves constructing an activity graph to represent the networking events occurring during a monitoring window. This graph is a rich attributed graph capturing both structure and semantic features from the network traffic. Then, we train a neural network on this graph to distinguish between normal activities and attacks. Our preliminary experiments show that our approach is able to accurately detect a large range of attacks when the size of the monitoring window is correctly set.",0.52,0.54,0.64,0.5,0.54,0.64,7.67,3.21,3.21,3.21,5.89
https://openalex.org/W4385687876,Privacy Impact Assessment of Cyber Attacks on Connected and Autonomous Vehicles,ARES (Validação DBLP),"Sakshyam Panda, Emmanouil Panaousis, George Loukas, Konstantinos Kentrotis",2023,"Connected and autonomous vehicles (CAVs) are vulnerable to security gaps that can result in serious consequences, including cyber-physical and privacy risks. For example, an attacker can reconstruct a vehicle’s location trajectory by knowing the speed and steering wheel position of the vehicle. Such inferences not only lead to safety issues but also significantly threaten privacy. This paper assesses the privacy impacts of cyber threats on vehicular networks. We augment the Privacy Risk Assessment Methodology (PRAM), proposed by the National Institute of Standards and Technology, with cyber threats, with cyber threats, which are, in practice, mapped to PRAM impact metrics. We demonstrate the practical application of the enhanced PRAM methodology through a use case that highlights attacks leading to privacy risks in CAVs. The consideration of cyber attacks for privacy risk assessment addresses a major gap in current practices, which is to integrate privacy risk into cyber risk management.",9,9,"Privacy Impact Assessment of Cyber Attacks on Connected and Autonomous Vehicles Connected and autonomous vehicles (CAVs) are vulnerable to security gaps that can result in serious consequences, including cyber-physical and privacy risks. For example, an attacker can reconstruct a vehicle’s location trajectory by knowing the speed and steering wheel position of the vehicle. Such inferences not only lead to safety issues but also significantly threaten privacy. This paper assesses the privacy impacts of cyber threats on vehicular networks. We augment the Privacy Risk Assessment Methodology (PRAM), proposed by the National Institute of Standards and Technology, with cyber threats, with cyber threats, which are, in practice, mapped to PRAM impact metrics. We demonstrate the practical application of the enhanced PRAM methodology through a use case that highlights attacks leading to privacy risks in CAVs. The consideration of cyber attacks for privacy risk assessment addresses a major gap in current practices, which is to integrate privacy risk into cyber risk management.",0.61,0.51,0.54,0.51,0.53,0.61,7.67,3.21,3.21,3.21,5.89
